FIPS,TRN_BC_Share_of_Rural_Population_with_Broadband_Access
01001,0.47
01003,0.61
01005,0.28
01007,0.02
01009,0.5
01011,0.0
01013,0.32
01015,0.8
01017,0.65
01019,0.31
01021,0.2
01023,0.15
01025,0.39
01027,0.37
01029,0.0
01031,0.72
01033,0.51
01035,0.16
01037,0.79
01039,0.03
01041,0.57
01043,0.63
01045,0.83
01047,0.62
01049,0.82
01051,0.82
01053,0.4
01055,0.82
01057,0.0
01059,0.52
01061,0.38
01063,0.01
01065,0.54
01067,0.42
01069,0.59
01071,0.83
01073,0.81
01075,0.32
01077,0.45
01079,0.56
01081,0.9
01083,0.84
01085,0.1
01087,0.38
01089,0.77
01091,0.14
01093,0.13
01095,0.9
01097,0.72
01099,0.4
01101,0.73
01103,0.73
01105,0.0
01107,0.02
01109,0.8
01111,0.26
01113,0.77
01115,0.66
01117,0.65
01119,0.42
01121,0.53
01123,0.9
01125,0.82
01127,0.63
01129,0.13
01131,0.32
01133,0.09
02013,0.0
02020,0.84
02060,0.0
02068,0.0
02090,0.52
02100,0.0
02110,0.98
02122,0.38
02130,0.98
02150,0.0
02164,0.0
02170,0.47
02185,0.0
02188,0.0
02195,0.0
02220,0.91
02230,0.0
02275,0.0
02282,0.0
04001,0.0
04003,0.42
04005,0.31
04007,0.37
04009,0.41
04011,0.11
04012,0.23
04013,0.45
04015,0.34
04017,0.24
04019,0.54
04021,0.28
04023,0.34
04025,0.6
04027,0.3
05001,0.01
05003,0.4
05005,0.53
05007,0.59
05009,0.64
05011,0.01
05013,0.04
05015,0.6
05017,0.02
05019,0.61
05021,0.15
05023,0.49
05025,0.03
05027,0.24
05029,
05031,0.69
05033,0.74
05035,0.21
05037,0.58
05039,0.58
05041,0.07
05043,0.01
05045,0.96
05047,0.07
05049,0.04
05051,0.93
05053,0.74
05055,0.26
05057,0.34
05059,0.34
05061,0.15
05063,0.36
05065,0.0
05067,0.57
05069,0.2
05071,0.31
05073,0.0
05075,0.12
05077,0.17
05079,0.0
05081,0.0
05083,0.0
05085,0.71
05087,0.31
05089,0.24
05091,0.63
05093,0.52
05095,0.18
05097,0.74
05099,0.16
05101,0.1
05103,0.39
05105,0.91
05107,0.59
05109,0.79
05111,0.34
05113,0.22
05115,0.77
05117,0.0
05119,0.88
05121,0.37
05123,0.22
05125,0.77
05127,0.07
05129,0.81
05131,0.77
05133,0.8
05135,0.17
05137,0.0
05139,0.47
05141,0.4
05143,0.8
05145,0.51
05147,0.0
05149,0.57
06001,
06003,0.1
06005,0.1
06007,0.45
06009,0.62
06011,0.07
06013,0.7
06015,0.84
06017,0.36
06019,0.18
06021,0.32
06023,0.37
06025,0.23
06027,0.4
06029,0.17
06031,0.26
06033,0.6
06035,0.16
06037,0.61
06039,0.06
06041,0.55
06043,0.0
06045,0.38
06047,0.2
06049,0.16
06051,0.07
06053,0.62
06055,0.56
06057,0.43
06059,0.78
06061,0.4
06063,0.0
06065,0.42
06067,0.83
06069,0.92
06071,0.41
06073,0.49
06075,
06077,0.54
06079,0.47
06081,0.89
06083,0.47
06085,0.97
06087,
06089,0.19
06091,0.01
06093,0.05
06095,0.37
06097,0.74
06099,0.32
06101,0.47
06103,0.27
06105,0.0
06107,0.1
06109,0.39
06111,0.59
06113,0.17
06115,0.24
08001,0.6
08003,
08005,0.26
08007,0.0
08009,0.0
08011,0.0
08013,0.62
08014,0.88
08015,0.43
08017,0.0
08019,0.67
08021,0.96
08023,0.45
08025,0.0
08027,0.97
08029,0.29
08031,
08033,0.13
08035,0.61
08037,0.69
08039,0.46
08041,0.52
08043,0.8
08045,0.44
08047,0.36
08049,0.5
08051,0.85
08053,0.0
08055,0.66
08057,0.0
08059,0.65
08061,0.0
08063,0.12
08065,0.76
08067,0.38
08069,0.47
08071,0.18
08073,0.0
08075,0.45
08077,0.44
08079,0.03
08081,0.78
08083,0.48
08085,0.28
08087,0.58
08089,0.57
08091,0.1
08093,0.36
08095,0.69
08097,0.63
08099,0.12
08101,0.62
08103,0.82
08105,0.59
08107,0.94
08109,0.02
08111,0.04
08113,0.61
08115,0.41
08117,0.81
08119,0.38
08121,0.14
08123,0.17
08125,0.22
10001,0.9
10003,0.97
10005,0.87
11001,
12001,0.73
12003,0.66
12005,0.75
12007,0.44
12009,
12011,0.64
12013,0.0
12015,0.64
12017,0.79
12019,0.75
12021,0.87
12023,0.78
12027,0.43
12029,0.0
12031,
12033,0.71
12035,0.79
12037,0.71
12039,0.78
12041,0.37
12043,0.43
12045,0.67
12047,0.94
12049,0.92
12051,0.38
12053,0.76
12055,0.63
12057,0.92
12059,0.16
12061,
12063,0.37
12065,0.15
12067,0.89
12069,0.66
12071,0.85
12073,0.86
12075,0.1
12077,0.0
12079,0.43
12081,0.77
12083,0.76
12085,0.67
12086,0.34
12087,0.92
12089,0.91
12091,0.64
12093,0.42
12095,
12097,
12099,0.75
12101,0.86
12103,1.0
12105,0.71
12107,0.71
12109,
12111,
12113,0.67
12115,0.76
12117,
12119,0.38
12121,0.94
12123,0.46
12125,0.87
12127,
12129,0.88
12131,0.68
12133,0.2
13001,0.27
13003,0.54
13005,0.45
13007,0.0
13009,0.97
13011,0.96
13013,0.99
13015,0.83
13017,0.95
13019,0.93
13021,0.97
13023,0.4
13025,0.99
13027,0.85
13029,0.98
13031,0.06
13033,0.6
13035,0.82
13037,0.37
13039,0.78
13043,0.21
13045,0.51
13047,0.99
13049,0.71
13051,0.95
13053,0.05
13055,0.98
13057,0.94
13059,0.86
13061,0.75
13063,1.0
13065,0.68
13067,0.95
13069,0.89
13071,0.88
13073,0.65
13075,0.7
13077,0.97
13079,0.63
13081,0.39
13083,0.78
13085,0.86
13087,0.38
13089,1.0
13091,0.43
13093,0.46
13095,0.95
13097,0.95
13099,0.66
13101,0.0
13103,0.97
13105,0.72
13107,0.0
13109,0.3
13111,0.78
13113,0.92
13115,0.81
13117,0.99
13119,0.76
13121,0.77
13123,0.95
13125,0.0
13127,0.94
13129,0.7
13131,0.88
13133,0.65
13135,0.98
13137,0.97
13139,0.83
13141,0.1
13143,0.24
13145,0.89
13147,0.44
13149,0.63
13151,0.95
13153,1.0
13155,0.82
13157,0.9
13159,0.06
13161,0.48
13163,0.01
13165,0.31
13167,0.0
13169,0.92
13171,0.54
13173,0.8
13175,0.37
13177,0.76
13179,0.84
13181,
13183,0.89
13185,0.6
13187,0.94
13189,0.82
13191,0.89
13193,0.86
13195,0.83
13197,0.91
13199,0.45
13201,0.1
13205,0.39
13207,0.38
13209,0.53
13211,0.16
13213,0.98
13215,0.94
13217,0.79
13219,0.65
13221,0.89
13223,0.9
13225,0.7
13227,0.86
13229,0.68
13231,0.14
13233,0.88
13235,0.65
13237,0.51
13239,0.31
13241,0.96
13243,0.79
13245,0.92
13247,0.99
13249,0.91
13251,
13253,0.94
13255,0.91
13257,0.96
13259,0.06
13261,0.43
13263,0.87
13265,
13267,0.78
13269,0.74
13271,0.73
13273,0.84
13275,0.83
13277,0.71
13279,0.09
13281,0.97
13283,0.02
13285,0.72
13287,0.83
13289,0.56
13291,0.9
13293,0.97
13295,0.96
13297,0.92
13299,0.6
13301,0.0
13303,0.27
