FIPS,DEM_2020Census_HousingUnits_Total
02170,51077
02185,2619
02188,2717
02195,1718
02220,4139
02230,760
02275,1273
02282,441
04001,28723
04003,58648
04005,69108
04007,32373
04009,13704
01001,24350
01003,124148
01005,11618
01007,9002
01009,24622
01011,4516
01013,9806
01015,53052
01017,16373
01019,14513
01021,19438
01023,7104
01025,11655
01027,7035
01029,6801
01031,24105
01033,27666
01035,6382
01037,5999
01039,18596
01041,6516
01043,39145
01045,22761
01047,18880
01049,30584
01051,36818
01053,16684
01055,47306
01057,7760
01059,13912
01061,12452
01063,4205
01065,7399
01067,9058
01069,49282
01071,24627
01073,307927
01075,7071
01077,44585
01079,15225
01081,74856
01083,42692
01085,4779
01087,9604
01089,169820
01091,9777
01093,14073
01095,41245
01097,184441
01099,10127
01101,105293
01103,53265
01105,3933
01107,8646
01109,15977
01111,12400
01113,27253
01115,37775
01117,89060
01119,6279
01121,37948
01123,22686
01125,101460
01127,29975
01129,7712
01131,5261
01133,13015
02013,679
02020,118640
02060,857
02068,1606
02090,42659
02100,1370
02110,14093
02122,32622
02130,6614
02150,5825
02164,1469
04011,4389
04012,13457
04013,1812827
04015,117650
04017,56180
04019,470132
04021,172878
04023,18729
04025,121154
04027,92048
05001,8671
05003,9371
05005,22699
05007,113088
05009,17368
05011,5073
05013,2444
05015,13853
05017,5104
05019,9977
05021,7470
05023,15527
05025,3570
05027,10999
05029,9646
05031,46739
05033,25300
05035,21291
05037,7585
05039,3468
05041,5795
05043,8259
05045,51685
05047,7716
05049,6185
05051,52326
05053,7839
05055,19159
05057,9601
05059,14179
05061,6152
05063,16667
05065,6721
05067,7079
05069,30573
05071,11475
05073,3916
05075,7489
05077,3695
05079,4366
05081,6043
05083,9744
05085,30112
05087,7611
05089,9461
05091,19779
05093,19075
05095,3828
05097,5435
05099,4298
05101,4086
05103,11837
05105,4933
05107,8315
05109,5289
05111,10327
05113,9612
05115,26902
05117,4071
05119,190511
05121,8562
05123,9565
05125,51879
05127,4851
05129,4705
05131,56749
05133,6741
05135,9499
05137,6784
05139,18599
05141,9668
05143,100508
05145,33270
05147,3250
05149,9246
06001,621958
06003,1540
06005,18805
06007,90133
06009,27422
06011,8099
06013,423342
06015,11090
06017,93467
06019,338441
06021,10895
06023,62120
06025,56625
06027,9469
06029,301009
06031,46287
06033,34220
06035,12216
06037,3591981
06039,49572
06041,111564
06043,9760
06045,41370
06047,87783
06049,4752
06051,13589
06053,143631
06055,55448
06057,53627
06059,1129785
06061,172356
06063,15396
06065,848549
06067,587551
06069,20365
06071,731899
06073,1228505
06075,406628
06077,251453
06079,123715
06081,283693
06083,158279
06085,688035
06087,106345
06089,79380
06091,2127
06093,22929
06095,162237
06097,204742
06099,183140
06101,34499
06103,27341
06105,8183
06107,150652
06109,31415
06111,293080
06113,80188
06115,29458
08001,186544
08003,7064
08005,262493
08007,9495
08009,1972
08011,2136
08013,140848
08014,31298
08015,10921
08017,925
08019,5672
08021,3998
08023,2423
08025,1509
08027,4175
08029,14780
08031,344980
08033,1319
08035,135643
08037,32967
08039,9805
08041,287459
08043,20243
08045,24091
08047,3516
08049,16633
08051,12131
08053,1329
08055,4679
08057,1190
08059,248429
08061,736
08063,3410
08065,4303
08067,28198
08069,158769
08071,8077
08073,2358
08075,8668
08077,67407
08079,1215
08081,6091
08083,12295
08085,18952
08087,11493
08089,8716
08091,3314
08093,14112
08095,2025
08097,13245
08099,5437
08101,71981
08103,3274
08105,6527
08107,16511
08109,3739
08111,779
08113,6551
08115,1343
08117,31342
08119,13316
08121,2276
08123,119962
08125,4315
10001,72708
10003,233747
10005,142280
11001,350364
12001,123359
12003,9809
12005,102971
12007,10723
12009,288794
12011,860329
12013,5628
12015,110046
12017,81687
12019,85049
12021,228390
12023,29775
12027,15548
12029,9276
12031,435033
12033,145390
12035,55565
12037,8347
12039,18929
12041,7493
12043,6491
12045,8796
12047,5596
12049,9820
12051,14971
12053,89165
12055,57486
12057,602886
12059,8622
12061,83529
12063,19882
12065,6690
12067,3284
12069,177628
12071,416332
12073,133478
12075,20868
12077,3196
12079,8315
12081,206633
12083,177380
12085,81371
12086,1074685
12087,53961
12089,41628
12091,101197
12093,18484
12095,561851
12097,154680
12099,705988
12101,256783
12103,516324
12105,316381
12107,36014
12109,119090
12111,147884
12113,75854
12115,253231
12117,193790
12119,75304
12121,18859
12123,11088
12125,4713
12127,272325
12129,13633
12131,56197
12133,10846
13001,8496
13003,3470
13005,4807
13007,1447
13009,19988
13011,7211
13013,30019
13015,42435
13017,8124
13019,7991
13021,71901
13023,5176
13025,8143
13027,7280
13029,16703
13031,32983
13033,11138
13035,9437
13037,2020
13039,22541
13043,4629
13045,46239
13047,27971
13049,4660
13051,134146
13053,3242
13055,10854
13057,100813
13059,55802
13061,1961
13063,114038
13065,3025
13067,308504
13069,17331
13071,19105
13073,58640
13075,7258
13077,56729
13079,5154
13081,9854
13083,7387
13085,11926
13087,13036
13089,326101
13091,8533
13093,4762
13095,40560
13097,53885
13099,4918
13101,1531
13103,24317
13105,9248
13107,9962
13109,4646
13111,17643
13113,45202
13115,40475
13117,87581
13119,10586
13121,494006
13123,17717
13125,1403
13127,42156
13129,22736
13131,11539
13133,10087
13135,330569
13137,18340
13139,76865
13141,4896
13143,12292
13145,14212
13147,12763
13149,4742
13151,86594
13153,66633
13155,4158
13157,27699
13159,6270
13161,6351
13163,7148
13165,4066
13167,3542
13169,11584
13171,7561
13173,4069
13175,21924
13177,12709
13179,26564
13181,4389
13183,6180
13185,48717
13187,13006
13189,9390
13191,6615
13193,5109
13195,12114
13197,3497
13199,9456
13201,2851
13205,9036
13207,11085
13209,3740
13211,8318
13213,16038
13215,90348
13217,41756
13219,14998
13221,6343
13223,59172
13225,11991
13227,14896
13229,8360
13231,7066
13233,17274
13235,4281
13237,13032
13239,1678
13241,11970
13243,3438
13245,92057
13247,35427
13249,1961
13251,6500
13253,5048
13255,27785
13257,12317
13259,2103
13261,13458
13263,3042
13265,908
13267,9298
13269,3894
13271,4704
13273,4243
13275,20668
13277,17375
13279,12027
13281,8600
13283,2868
13285,28721
13287,3916
13289,4028
13291,14645
13293,12301
13295,29137
13297,35473
13299,15858
13301,2511
13303,8556
13305,12460
13307,1196
13309,2420
13311,13535
13313,38876
13315,3440
13317,5165
13319,4288
13321,9244
15001,88691
15003,370665
15007,30157
15009,71553
16001,196901
16003,2642
16005,34903
16007,3849
16009,4628
16011,16905
16013,15436
16015,5443
16017,26312
16019,45214
16021,5400
16023,1289
16025,691
16027,81013
16029,3108
16031,8838
16033,483
16035,4552
16037,3021
16039,12049
16041,4985
16043,8452
16045,7563
16047,6030
16049,8872
16051,10134
16053,8569
16055,74736
16057,17259
16059,4568
16061,1810
16063,1948
16065,14124
16067,8218
16069,18364
16071,2009
16073,4719
16075,9684
16077,2937
16079,6990
16081,5815
16083,34693
16085,12189
16087,4514
17001,30235
17003,2946
17005,6858
17007,20157
17009,2330
17011,15616
17013,2282
17015,8159
17017,5676
17019,93075
17021,15184
17023,7327
17025,6145
17027,15574
17029,22739
17031,2264966
17033,8471
17035,4728
17037,41311
17039,7309
17041,8469
17043,364970
17045,8236
17047,3041
17049,15314
17051,8829
17053,6265
17055,18480
17057,15855
17059,2497
17061,5785
17063,21174
17065,3806
17067,8952
17069,2196
17071,3357
17073,22211
17075,12779
17077,27743
17079,4228
17081,16632
17083,9754
17085,13408
17087,5526
17089,188510
17091,45270
17093,45008
17095,23817
17097,269378
17099,49812
17101,6279
17103,14985
17105,15920
17107,11984
17109,13609
17111,119708
17113,74855
17115,49727
17117,21023
17119,118579
17121,17358
17123,5819
17125,6626
17127,6797
17129,5591
17131,7291
17133,14540
17135,12511
17137,15031
17139,6159
17141,22632
17143,85074
17145,9123
17147,7360
17149,7260
17151,2355
17153,2831
17155,3057
17157,13373
17159,7364
17161,66729
17163,114595
17165,11576
17167,92982
17169,3320
17171,2388
17173,10015
17175,2577
17177,21369
17179,58550
17181,7841
17183,34407
17185,5409
17187,7602
17189,6390
17191,7679
17193,6751
17195,25855
17197,250678
17199,31818
17201,124983
17203,15704
18001,13172
18003,162431
18005,35317
18007,3783
18009,5857
18011,28103
18013,8436
18015,9483
18017,16379
18019,52169
18021,11632
18023,13450
18025,5871
18027,12738
18029,20845
18031,11512
18033,18096
18035,51464
18037,18618
18039,79594
18041,10886
