State,Farm_ind,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,DEM_2020Census_HousingUnits_Total,FED_USDA_Amount,HHS_SAIPE_Poverty_Rate,mean_plan_price
AK,0,0,0.6560666666666667,0.27217241379310353,3.526315789473684,15325.157894736842,68814211.42105263,0.10342105263157896,109.15058823529412
AL,0,1,0.7036417910447762,0.2895970149253731,9.014925373134329,34154.17910447761,56533190.49253731,0.1866417910447761,56.241592354476126
AR,0,0,0.6356768115942029,0.23839130434782616,8.434782608695652,19322.144927536232,68713941.10144928,0.18549275362318846,56.81438335196766
AR,1,0,0.4010833333333334,0.09133333333333334,7.5,5339.5,15895419.666666666,0.2243333333333333,48.16761904761905
AZ,0,0,0.7492533333333334,0.4583333333333333,13.0,205466.66666666666,200658345.0,0.17946666666666672,58.46128534581543
CA,0,0,0.9230232142857143,0.5428749999999999,11.803571428571429,256663.32142857142,100101846.73214285,0.13055357142857144,60.2025558041923
CA,1,0,0.9018999999999999,0.14200000000000002,8.5,9497.0,66580753.5,0.1205,70.86724999999998
CO,0,0,0.8805285714285715,0.5172653061224488,10.755102040816327,49995.755102040814,58877677.30612245,0.11840816326530614,63.7917430616074
CO,1,0,0.75564,0.22759999999999997,8.133333333333333,2774.133333333333,9241676.866666667,0.1631333333333333,62.24679591836736
CT,0,0,0.9905625,0.668375,,,,,68.48346807141661
DC,0,0,0.9796,0.6579999999999999,12.0,350364.0,10211397.0,0.141,45.822
DE,0,0,0.9761000000000001,0.7263333333333333,9.0,149578.33333333334,345867266.6666667,0.11733333333333333,50.2265367965368
FL,0,1,0.8408727272727271,0.509909090909091,7.893939393939394,149248.16666666666,98830447.06060606,0.14980303030303035,52.350227180814315
FL,1,1,0.7638,0.334,4.0,14971.0,27951149.0,0.195,65.0
GA,0,0,0.8028086666666668,0.39201333333333355,7.46,29127.5,49193166.96,0.17874,52.56667495467491
GA,1,0,0.5273333333333333,0.126,6.0,4647.888888888889,13390803.444444444,0.23277777777777775,60.408240740740744
HI,0,0,0.80744,0.5518,5.5,140266.5,424686239.5,0.10250000000000001,55.857424242424244
IA,0,0,0.9467086956521735,0.4476956521739131,18.91304347826087,18412.55072463768,36552039.91304348,0.10894202898550728,60.25054079542535
