State,Policy_ind,Broadband_Avail_FCC,Broadband_Usage,TRN_BC_Number_of_Internet_Providers,DEM_2020Census_HousingUnits_Total,FED_USDA_Amount,HHS_SAIPE_Poverty_Rate,mean_plan_price
AK,0,0.6560666666666667,0.27217241379310353,3.526315789473684,15325.157894736842,68814211.42105263,0.10342105263157896,109.15058823529412
AL,1,0.7036417910447762,0.2895970149253731,9.014925373134329,34154.17910447761,56533190.49253731,0.1866417910447761,56.241592354476126
AR,0,0.6169093333333333,0.22662666666666673,8.36,18203.533333333333,64488459.38666666,0.18860000000000002,56.07323212588064
AZ,0,0.7492533333333334,0.4583333333333333,13.0,205466.66666666666,200658345.0,0.17946666666666672,58.46128534581543
CA,0,0.922294827586207,0.529051724137931,11.689655172413794,248140.3448275862,98945946.96551724,0.13020689655172413,60.57030387990981
CO,0,0.8512578125000002,0.44937499999999975,10.140625,38928.1875,47244239.703125,0.12889062499999998,63.43716502873259
CT,0,0.9905625,0.668375,,,,,68.48346807141661
DC,0,0.9796,0.6579999999999999,12.0,350364.0,10211397.0,0.141,45.822
DE,0,0.9761000000000001,0.7263333333333333,9.0,149578.33333333334,345867266.6666667,0.11733333333333333,50.2265367965368
FL,1,0.8397223880597013,0.5072835820895523,7.835820895522388,147244.02985074627,97772547.08955224,0.15047761194029857,52.54787988111409
GA,0,0.7872157232704403,0.3769559748427675,7.377358490566038,27741.861635220124,47166618.08176101,0.1817987421383648,53.030978192007744
HI,0,0.80744,0.5518,5.5,140266.5,424686239.5,0.10250000000000001,55.857424242424244
IA,0,0.9365828282828285,0.40357575757575753,17.424242424242426,14270.59595959596,30854502.90909091,0.10895959595959599,61.08262381338425
ID,0,0.8547568181818183,0.35849999999999993,9.0,17087.704545454544,42312900.27272727,0.12406818181818183,72.12535684523809
IL,0,0.8969049019607847,0.37073529411764716,12.754901960784315,53200.28431372549,33819341.1372549,0.1243921568627451,58.64708289366815
IN,0,0.9073913043478261,0.3560326086956523,12.945652173913043,31773.641304347828,52546535.0,0.11138043478260867,61.56814563522225
KS,0,0.8640123809523806,0.3624095238095238,8.952380952380953,12149.419047619047,22889311.14285714,0.12001904761904765,62.162855934779074
KY,0,0.876473333333333,0.3021500000000001,8.7,16619.358333333334,44878673.791666664,0.1882916666666666,61.5201174035523
LA,1,0.6841249999999999,0.2840937500000001,8.9375,32393.75,98523706.625,0.20935937500000004,47.459955352680204
MA,0,0.9578,0.7052142857142857,9.428571428571429,184846.14285714287,107369645.14285715,0.08642857142857142,63.1436274944126
MD,0,0.9569461538461538,0.6734230769230769,10.076923076923077,122086.76923076923,126504336.5,0.10738461538461543,55.22633912988597
ME,0,0.9400999999999999,0.4379374999999999,10.9375,46192.0,139701347.1875,0.1251875,65.84006438259209
MI,1,0.8517674698795183,0.40275903614457814,10.626506024096386,55062.32530120482,71007621.50602409,0.13201204819277113,59.842322909314966
MN,1,0.9472540229885056,0.45180459770114967,12.195402298850574,28569.632183908045,58565156.78160919,0.09620689655172412,58.550093274858476
MO,1,0.7930282051282049,0.2970683760683762,9.376068376068377,29100.452991452992,54265137.43589743,0.1551709401709402,60.41889196791055
